Committee,Name,Link,Published On,Meeting Date,Type
Enhanced Liaison Committee - Capacity Performance,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20141104/20141104-agenda.ashx,10.31.2014,11.4.2014,PDF
Enhanced Liaison Committee - Capacity Performance,Agenda (DOC)  DOC,https://www.pjm.com/-/media/committees-groups/committees/elc/20141104/20141104-agenda-doc.ashx,10.31.2014,11.4.2014,DOC
Enhanced Liaison Committee - Capacity Performance,Coalition Representatives  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20141104/20141104-coalition-representatives.ashx,11.3.2014,11.4.2014,PDF
Enhanced Liaison Committee - Capacity Performance,Additional Information  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20141104/20141104-additional-information.ashx,10.31.2014,11.4.2014,PDF
Enhanced Liaison Committee - Capacity Performance,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20141015/20141015-agenda.ashx,10.14.2014,10.15.2014,PDF
Enhanced Liaison Committee - Capacity Performance,Agenda (DOC)  DOC,https://www.pjm.com/-/media/committees-groups/committees/elc/20141015/20141015-agenda-doc.ashx,10.14.2014,10.15.2014,DOC
Enhanced Liaison Committee - Capacity Performance,Item 02 - Enhanced Liaison Committee Process  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20141015/20141015-item-02-enhanced-liaison-committee-process.ashx,10.14.2014,10.15.2014,PDF
Enhanced Liaison Committee - Capacity Performance,Item 03 - Capacity Performance Proposal  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20141015/20141015-item-03-capacity-performance-presentation.ashx,10.14.2014,10.15.2014,PDF
Enhanced Liaison Committee - Capacity Performance,Capacity Performance Updated Proposal - Matrix  XLS,https://www.pjm.com/-/media/committees-groups/committees/elc/20141015/20141015-capacity-performance-updated-proposal-matrix.ashx,10.14.2014,10.15.2014,XLS
Enhanced Liaison Committee - Capacity Performance,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20140924/20140924-agenda.ashx,9.22.2014,9.24.2014,PDF
