Committee,Name,Link,Published On,Meeting Date,Type
Members Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-agenda.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Agenda  DOC,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-agenda-doc.ashx,6.11.2020,6.18.2020,DOC
Members Committee,Agenda - Updated  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-agenda-updated.ashx,6.12.2020,6.18.2020,PDF
Members Committee,Agenda - Updated  DOC,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-agenda-doc-updated.ashx,6.12.2020,6.18.2020,DOC
Members Committee,Consent Agenda A - Draft Minutes - MC - 5.28.2020  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-caa-draft-minutes-mc-20200528.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Consent Agenda B - Surety Bonds Proposal - Presentation  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-cab-1-surety-bonds-proposal-presentation.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Consent Agenda B - Surety Bonds - Discussion Paper  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-cab-2-surety-bonds-discussion-paper.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Consent Agenda B - Surety Bond - Proposed Tariff Revisions - Redline  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-cab-3-surety-bond-proposed-tariff-revisions-redline.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Consent Agenda B - Surety Bond - Draft Standard Form  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-cab-4-surety-bond-draft-standard-form.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Item 1 - PMA Credit Requirements - Presentation  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-01-1-pma-credit-requirements-presentation.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Item 1 - Attachment Q - Revisions - Redline  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-01-2-attachment-q-revisions-redline.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Item 2 - Joint Stakeholders Solution Package - Presentation  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-02-1-joint-stakeholders-solution-package-presentation.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Item 2 - Joint Stakeholders Solution Package - OA Language Revisions  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-02-2-joint-stakeholders-solution-package-oa-language-revisions.ashx,6.11.2020,6.18.2020,PDF
Members Committee,Item 2 - EOL Transmission Planning - PJM Presentation  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-02-3-eol-transmission-planning-pjm-presentation.ashx,6.12.2020,6.18.2020,PDF
Members Committee,Item 2 -Letter to PJM Board on EOL Transmission Planning  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-02-3a-letter-to-pjm-board-on-eol-transmission-planning.ashx,6.12.2020,6.18.2020,PDF
Members Committee,"Item 2 - PJM Board, Reliability & Security Committee Chair Dean Oskvig - Response to Multiple Parties Letter Regarding End of Life Transmission Planning  PDF",https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-02-4-pjm-board-reliability-and-security-committee-chair-dean-oskvig-response-multiple-parties-letter-regarding-end-of-life-transmission-planning.ashx,6.12.2020,6.18.2020,PDF
Members Committee,Item 3 - Stakeholder Responsiveness - Presentation  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-item-03-stakeholder-responsiveness-presentation.ashx,6.18.2020,6.18.2020,PDF
Members Committee,Voting Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200618/20200618-voting-report.ashx,6.18.2020,6.18.2020,PDF
Members Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-agenda.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Agenda  DOC,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-agenda-doc.ashx,6.9.2020,6.15.2020,DOC
Members Committee,Item 1 - Interregional Coordination Update  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-01-interregional-coordination-update.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 4 - IMM Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-04-imm-report.ashx,6.12.2020,6.15.2020,PDF
Members Committee,Item 5A - Markets Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-05a-markets-report.ashx,6.10.2020,6.15.2020,PDF
Members Committee,Item 5A - Markets Report - Data Appendix  XLS,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-05a-markets-report-data-appendix.ashx,6.10.2020,6.15.2020,XLS
Members Committee,Item 5B - System Operations Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-05b-system-operations-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 5C - Regulatory Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-05c-regulatory-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 6A - MRC Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-06a-mrc-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 6B - MIC Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-06b-mic-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 6C - OC Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-06c-oc-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 6D - PC Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-06d-pc-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8A - Transparency & End of Life Planning Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08a-transparency-and-end-of-life-planning-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8B - Five Minute Dispatch & Pricing Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08b-five-minute-dispatch-and-pricing-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8C - Fuel Cost Policy Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08c-fuel-cost-policy-report.ashx,6.15.2020,6.15.2020,PDF
Members Committee,Item 8D - Real Time Market Values Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08d-real-time-market-values-report.ashx,6.10.2020,6.15.2020,PDF
Members Committee,Item 8G - Critical Infrastructure Stakeholder Oversight Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08g-critical-infrastructure-stakeholder-oversight-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8H - Storage as a Transmission Asset Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08h-storage-as-a-transmission-asset-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8I - AFMTF Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08i-afmtf-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8J - CCSTF Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08j-ccsft-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8K - CPSTF Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08k-cpstf-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8L - DERS Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08l-ders-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8M - FRMSTF Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08m-frmstf-report.ashx,6.10.2020,6.15.2020,PDF
Members Committee,Item 8N - MEPETF Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08n-mepetf-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8O - MGSTF Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08o-mgstf-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Item 8P - Load Reconciliation Process Report  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-webinar/20200615-item-08p-load-reconciliation-process-report.ashx,6.9.2020,6.15.2020,PDF
Members Committee,Suggested Discussion Topics  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-stakeholder/20200615-suggested-discussion-topics.ashx,6.8.2020,6.15.2020,PDF
Members Committee,Item 1 - Manual 34 - Section 8.4  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-stakeholder/20200615-item-01-manual-34-section-8-4.ashx,6.15.2020,6.15.2020,PDF
Members Committee,Item 1 - Manual 34 - Draft Language - Redline  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-stakeholder/20200615-item-01-manual-34-draft-language-redline.ashx,6.15.2020,6.15.2020,PDF
Members Committee,Manual 34A - Motions & Amendments - Redlines  PDF,https://www.pjm.com/-/media/committees-groups/committees/mc/2020/20200615-stakeholder/20200615-m34a-motions-and-amendments-redlines.ashx,6.8.2020,6.15.2020,PDF
